Name	mirbaseId	Location
aae-mir-9c	MI0014709	supercont1.785:186226..186308:+
bdi-MIR397b	MI0018099	3:3177780..3177881:-
bdi-MIR169a	MI0011564	2:7704123..7704303:+
bdi-MIR408	MI0011560	2:10450366..10450510:+
bdi-MIR171d	MI0011569	1:72765307..72765462:-
bfl-mir-4862	MI0017615	GG666534.1:218827..218894:+
bfl-mir-9-1	MI0010520	GG666611.1:400332..400413:+
bfl-mir-9-2	MI0010521	GG666846.1:38051..38132:+
bta-mir-9-1	MI0009912	chr21:21326580..21326669:+
bta-mir-9-2	MI0009913	chr7:90950499..90950585:-
bta-mir-219-2	MI0012210	chr23:7359574..7359636:-
cgr-mir-26a-2	MI0020471	JH000814.1:743060..743138:-
cgr-mir-30c-2	MI0020486	JH000029.1:3475422..3475500:-
csi-MIR477c	MI0016720	chr7:9419500..9419658:+
cte-mir-9	MI0010052	KB300095.1:129658..129758:+
dps-mir-2517-1	MI0011678	Unknown_singleton_1920:1593..1697:+
dps-mir-2517-2	MI0011681	XL_group1e:8378028..8378132:-
dps-mir-2517-3	MI0011725	XL_group1e:8380430..8380532:-
dpu-mir-9	MI0012252	GL732524.1:1526193..1526293:+
efu-mir-9234a-2	MI0028525	JH977657.1:8659862..8659966:+
efu-mir-9234b	MI0028521	JH977632.1:16065449..16065543:-
gga-mir-146c	MI0007561	chr4:89315822..89315950:-
gga-mir-222a	MI0001177	chr1:110650030..110650127:+
mml-mir-517b	MI0007788	chr19:49115787..49115898:+
mtr-MIR2111l	MI0011840	chr7:16644069..16644155:-
mtr-MIR2111i	MI0011837	chr7:16649857..16649962:-
mtr-MIR2111d	MI0011906	chr7:16685914..16686016:-
mtr-MIR2111b	MI0011904	chr7:16691057..16691162:-
mtr-MIR2111a	MI0011903	chr7:16696863..16696970:-
mtr-MIR169b	MI0001742	chr4:44375579..44375655:-
mtr-MIR169l	MI0005631	chr7:10204628..10204760:+
mtr-MIR395k	MI0005078	chr5:16553926..16553997:+
mtr-MIR2606c	MI0011859	chr8:25986222..25986359:+
mtr-MIR171g	MI0005635	chr3:31404873..31405008:-
mtr-MIR2111g	MI0011835	chr7:16661325..16661456:-
mtr-MIR169i	MI0005624	chr4:44366823..44366908:-
mtr-MIR169k	MI0005632	chr4:44368729..44368828:+
nve-mir-2041b-2	MI0029029	scaffold_108:300285..300352:-
nve-mir-2043-2	MI0010319	scaffold_14:1321783..1321871:+
osa-MIR439i	MI0001699	Chr10:15809251..15809375:-
osa-MIR396d	MI0001702	Chr4:30320096..30320216:+
osa-MIR166j	MI0001106	Chr3:30392782..30392881:-
osa-MIR827	MI0007051	Chr2:23901168..23901284:-
ppy-mir-519b	MI0015015	chr19:55470705..55470789:+
ptc-MIR159c	MI0002197	CM000350.2:6596931..6597131:+
ptc-MIR481d	MI0002395	CM000347.2:11184600..11184795:-
ptc-MIR399c	MI0002340	CM000340.2:4642730..4642823:+
ptc-MIR171j	MI0002286	CM000348.2:2201526..2201626:-
ptc-MIR478n	MI0002382	CM000337.2:42146928..42147022:-
ptc-MIR478n	MI0002382_2	CM000353.2:5999626..5999720:-
ptc-MIR399e	MI0002342	CM000339.2:12739658..12739766:-
pxy-mir-8537-2	MI0027385	scaffold_81:327721..327790:-
rno-mir-3084a-2	MI0030359	chr6:91633044..91633112:-
rno-mir-3084a-4	MI0031762	chr6:91645144..91645212:-
rno-mir-3084a-3	MI0030361	chr7:66663841..66663909:-
sbi-MIR169h	MI0001562	chr4:49927492..49927589:-
sbi-MIR394b	MI0001532	chr4:62923468..62923544:-
sbi-MIR172d	MI0001571	chr2:22201215..22201302:+
sbi-MIR169e	MI0001559	chr2:58892126..58892234:-
sbi-MIR395c	MI0001535	chr6:57228201..57228273:-
tca-mir-2-1	MI0008894	ChLG3:562865..562952:+
tca-mir-2-2	MI0008895	ChLG3:563018..563102:+
tca-mir-3851d-1	MI0016337	ChLG6:8819480..8819570:-
tca-mir-3811b	MI0016285	ChLGX:5783739..5783850:-
tca-mir-3811a-3	MI0016271	ChLGX:5784317..5784420:-
tca-mir-3811a-5	MI0016279	ChLGX:5785317..5785402:-
tca-mir-9a	MI0008936	ChLGX:3616636..3616716:+
vvi-MIR535c	MI0006582	chr7:387698..387798:-
vvi-MIR160e	MI0006500	chr13:5447916..5448017:+
vvi-MIR535a	MI0006580	chr7:433583..433683:-
